"Date","Android","iOS","Series 40","SymbianOS","Unknown","Samsung","BlackBerry OS","Windows","Nokia Unknown","Sony Ericsson","Linux","KaiOS","bada","Tizen","LG","Playstation","Firefox OS","MeeGo","Nintendo 3DS","Other"
2009,4.07,32.05,0,35.05,6.05,1.81,9.69,1.17,0,7.12,0,0,0,0,0.27,1.55,0,0,0,1.15
2010,13.6,23.57,0,29.66,5.13,4.05,18.04,0.4,0,4.32,0,0,0,0,0.12,0.42,0,0,0,0.68
2011,21.83,22.71,0,33.46,4.76,5.61,7.78,0.56,0,2,0.1,0,0.5,0,0.08,0.27,0,0.02,0.06,0.27
2012,33.19,23.26,14.86,10.72,4.7,6.57,3.53,1.16,0,0.85,0.09,0,0.55,0,0.04,0.11,0,0.03,0.14,0.19
2013,42.99,21.82,13.02,4.95,4.3,4.54,3.63,2.13,0.61,0.48,0.81,0,0.25,0,0.34,0.03,0,0.02,0.02,0.06
2014,59.15,23.51,5.76,1.79,2.72,1.75,1.33,2.27,1.07,0.15,0.19,0,0.11,0,0.13,0.04,0,0.01,0.02,0.02
2015,65.9,19.21,2.81,0.82,3.71,0.8,1.08,2.31,2.61,0.07,0.39,0,0.05,0.05,0.09,0.03,0.01,0.04,0.01,0.01
2016,71.97,18.89,0.97,0.29,3.5,0.5,0.44,1.24,1.54,0.05,0.29,0,0.02,0.2,0.05,0.02,0.01,0.03,0,0
2017,73.54,19.91,0.53,0.18,3.54,0.34,0.18,0.64,0.29,0.03,0.04,0,0.01,0.23,0.05,0.01,0.46,0.02,0,0
2018,75.16,21.98,0.19,0.06,0.46,0.29,0.05,0.33,0.15,0.01,0.05,1.13,0,0.11,0.01,0.01,0,0,0,0
2019,74.13,24.79,0.06,0.02,0.19,0.18,0.02,0.13,0.06,0,0.03,0.35,0,0.04,0,0,0,0,0,0
2020,72.48,26.91,0.02,0.01,0.14,0.23,0.01,0.02,0.02,0,0.02,0.13,0,0.01,0,0,0,0,0,0
2021,70.01,29.24,0.01,0,0.12,0.43,0,0.01,0.02,0,0.01,0.13,0,0.01,0,0,0,0,0,0
2022,72.37,26.98,0.01,0,0.13,0.36,0,0.02,0.01,0,0.01,0.11,0,0,0,0,0,0,0,0
2023,70.48,28.8,0.01,0.01,0.14,0.37,0,0.02,0.01,0,0.01,0.14,0,0,0,0,0,0,0,0
2024,73.49,26.04,0,0,0.1,0.31,0,0.01,0,0,0.01,0.03,0,0,0,0,0,0,0,0
2025,72.23,27.39,0,0,0.11,0.22,0,0.01,0,0,0.01,0.02,0,0,0,0,0,0,0,0
